,zpid,price_str,price,zestimate,rent_zestimate,tax_assesed_value,beds,baths,sqft,lot_sqft,lot_acres,lat,lng,zip_code,city,state,address,status_type,status_text,home_type,is_preforeclosure,is_zillow_owned,days_on_zillow,link,miles_from_work,miles_from_work_class,price_per_square_foot,price_per_lot_size,lot_size_per_square_foot,beds_per_square_foot,baths_per_square_foot,beds_and_baths_per_square_foot,lot_sqft_vs_house_sqft,zestimate_vs_price
12,249283576,"$699,000",699000.0,699003.0,2728.0,468540.0,2.0,2.0,2460.0,5227.2,0.12,39.891235,-105.14508,80021,Broomfield,CO,13178 Sandstone Cir Broomfield CO 80021,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/13178-Sandstone-Cir-Broomfield-CO-80021/249283576_zpid/,3.9906991232330435,Best,284.1463414634146,133.72359963269054,2767.2,1230.0,1230.0,615.0,2.124878048780488,3.0
13,67149184,"$1,195,000",1195000.0,,,832900.0,3.0,3.0,2159.0,7405.2,0.16999999999999998,40.005848,-105.13225,80026,Lafayette,CO,2979 Thunder Lake Cir Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2979-Thunder-Lake-Cir-Lafayette-CO-80026/67149184_zpid/,7.624014329293672,Good,553.4969893469199,161.37308918057582,5246.2,719.6666666666666,719.6666666666666,359.8333333333333,3.4299212598425197,
14,13183310,"$3,900,000",3900000.0,,,1572100.0,4.0,3.0,2579.0,12196.8,0.27999999999999997,40.023224,-105.27728,80304,Boulder,CO,1500 Sunset Blvd Boulder CO 80304,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1500-Sunset-Blvd-Boulder-CO-80304/13183310_zpid/,8.205672786153803,Good,1512.2140364482357,319.7560015741834,9617.8,644.75,859.6666666666666,368.42857142857144,4.729274912756882,
15,13188619,"$1,350,000",1350000.0,,,1024500.0,4.0,2.0,2071.0,8276.4,0.19,39.979904,-105.25124,80305,Boulder,CO,1093 Yale Cir Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1093-Yale-Cir-Boulder-CO-80305/13188619_zpid/,4.910697456921245,Best,651.8590053114438,163.11439756415834,6205.4,517.75,1035.5,345.1666666666667,3.9963302752293575,
16,13244528,"$1,625,000",1625000.0,,,946400.0,5.0,6.0,5114.0,11761.2,0.27,39.939888,-105.15891,80027,Superior,CO,740 E Heartstrong St Superior CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/740-E-Heartstrong-St-Superior-CO-80027/13244528_zpid/,3.3806192771490426,Best,317.7551818537348,138.16617351970888,6647.200000000001,1022.8,852.3333333333334,464.90909090909093,2.2998044583496284,
17,98361356,"$1,250,000",1250000.0,1250011.0,3280.0,853200.0,4.0,4.0,3262.0,4791.6,0.11000000000000001,39.993774,-105.12416,80027,Louisville,CO,2409 Hecla Dr Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2409-Hecla-Dr-Louisville-CO-80027/98361356_zpid/,7.22656645328534,Good,383.2004904966278,260.8731947574923,1529.6000000000004,815.5,815.5,407.75,1.4689147762109136,11.0
18,239898693,"$675,000",675000.0,,,19320.0,2.0,2.0,2261.0,3486.0,0.08002754820936639,39.893486,-105.14628,80021,Broomfield,CO,10767 Bear Cub Dr Broomfield CO 80021,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/10767-Bear-Cub-Dr-Broomfield-CO-80021/239898693_zpid/,3.870640059166083,Best,298.5404688191066,193.631669535284,1225.0,1130.5,1130.5,565.25,1.541795665634675,
19,50945687,"$1,550,000",1550000.0,,,1034200.0,6.0,6.0,6383.0,10454.4,0.24,39.92059,-105.1635,80027,Superior,CO,341 Amethyst Way Superior CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/341-Amethyst-Way-Superior-CO-80027/50945687_zpid/,2.6924381016097354,Best,242.83252389158702,148.26293235384145,4071.3999999999996,1063.8333333333333,1063.8333333333333,531.9166666666666,1.6378505404981982,
20,13188795,"$905,000",905000.0,,,670600.0,5.0,2.0,1900.0,10454.4,0.24,39.99018,-105.23986,80303,Boulder,CO,105 Mohawk Dr Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/105-Mohawk-Dr-Boulder-CO-80303/13188795_zpid/,5.382094178832546,Best,476.3157894736842,86.56642179369453,8554.4,380.0,950.0,271.42857142857144,5.502315789473684,
21,13189514,"$1,000,000",1000000.0,,,692100.0,3.0,3.0,1873.0,7405.2,0.16999999999999998,39.998215,-105.22678,80303,Boulder,CO,572 Black Hawk Rd Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/572-Black-Hawk-Rd-Boulder-CO-80303/13189514_zpid/,5.797871264034478,Best,533.9028296849973,135.04024199211366,5532.2,624.3333333333334,624.3333333333334,312.1666666666667,3.9536572343833423,
22,13253284,"$11,900,000",11900000.0,,,5543200.0,7.0,13.0,16612.0,1724104.7999999998,39.58,40.020393,-105.17139,80301,Boulder,CO,2300 75th St Boulder CO 80301,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2300-75th-St-Boulder-CO-80301/13253284_zpid/,7.626629965065215,Good,716.3496267758247,6.9021326313806455,1707492.7999999998,2373.1428571428573,1277.8461538461538,830.6,103.78670840356368,
23,13187155,"$918,000",918000.0,925879.0,3499.0,670300.0,5.0,2.0,1882.0,7405.2,0.16999999999999998,40.002186,-105.23627,80303,Boulder,CO,720 Mohawk Dr Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/720-Mohawk-Dr-Boulder-CO-80303/13187155_zpid/,6.1477714924536855,Best,487.778958554729,123.96694214876034,5523.2,376.4,941.0,268.85714285714283,3.934750265674814,7879.0
24,13184552,"$739,000",739000.0,,,577300.0,3.0,2.0,1000.0,7405.2,0.16999999999999998,40.002968,-105.249115,80303,Boulder,CO,850 34th St Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/850-34th-St-Boulder-CO-80303/13184552_zpid/,6.36665283424263,Best,739.0,99.79473883217199,6405.2,333.3333333333333,500.0,200.0,7.4052,
25,13227330,"$2,185,500",2185500.0,2185506.0,8010.0,1361600.0,7.0,4.0,5363.0,16552.8,0.38,40.009922,-105.21115,80303,Boulder,CO,6111 Reserve Dr Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/6111-Reserve-Dr-Boulder-CO-80303/13227330_zpid/,6.567071386043445,Best,407.514450867052,132.0320429172104,11189.8,766.1428571428571,1340.75,487.54545454545456,3.086481446951333,6.0
26,123602109,"$1,100,000",1100000.0,1100010.0,4139.0,694600.0,5.0,4.0,3253.0,4791.6,0.11000000000000001,39.99621,-105.135666,80026,Lafayette,CO,2880 Shadow Lake Rd Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2880-Shadow-Lake-Rd-Lafayette-CO-80026/123602109_zpid/,6.976588474106634,Best,338.1494005533354,229.5684113865932,1538.6000000000004,650.6,813.25,361.44444444444446,1.472978788810329,10.0
27,13198144,"$1,999,000",1999000.0,1999004.0,4559.0,1028200.0,4.0,3.0,4443.0,31798.8,0.73,39.987648,-105.172966,80303,Boulder,CO,7700 O'Connor Rd Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/7700-O'Connor-Rd-Boulder-CO-80303/13198144_zpid/,5.471408146739513,Best,449.92122439792934,62.864007446821894,27355.8,1110.75,1481.0,634.7142857142857,7.157056043214045,4.0
28,13179285,"$1,150,000",1150000.0,,,869200.0,3.0,2.0,1253.0,6534.0,0.15,40.001526,-105.271645,80302,Boulder,CO,781 17th St Boulder CO 80302,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/781-17th-St-Boulder-CO-80302/13179285_zpid/,6.724843499741677,Best,917.7972865123703,176.00244872972146,5281.0,417.6666666666667,626.5,250.6,5.214684756584198,
29,2058075402,"$1,800,000",1800000.0,,,,4.0,4.0,3915.0,15681.599999999999,0.36,39.96112,-105.15117,80027,Louisville,CO,632 S Manorwood Ln Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/632-S-Manorwood-Ln-Louisville-CO-80027/2058075402_zpid/,4.6038492545000365,Best,459.7701149425287,114.78420569329661,11766.599999999999,978.75,978.75,489.375,4.00551724137931,
30,13176388,"$2,295,000",2295000.0,,,1374100.0,5.0,3.0,2882.0,15681.599999999999,0.36,39.986416,-105.26974,80305,Boulder,CO,1880 Kohler Dr Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1880-Kohler-Dr-Boulder-CO-80305/13176388_zpid/,5.762748398699826,Best,796.3219986120749,146.34986225895318,12799.599999999999,576.4,960.6666666666666,360.25,5.441221374045801,
31,13249991,"$1,250,000",1250000.0,1250009.0,3999.0,717500.0,5.0,4.0,4041.0,9725.0,0.2232552800734619,39.99834,-105.126045,80026,Lafayette,CO,2410 Waneka Lake Trl Lafayette CO 80026,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/2410-Waneka-Lake-Trl-Lafayette-CO-80026/13249991_zpid/,7.404214120334769,Good,309.3293739173472,128.53470437017995,5684.0,808.2,1010.25,449.0,2.406582529076961,9.0
32,13182042,"$797,000",797000.0,806375.0,2870.0,552700.0,3.0,1.0,1050.0,5947.0,0.13652433425160698,39.994408,-105.25891,80305,Boulder,CO,205 29th St Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/205-29th-St-Boulder-CO-80305/13182042_zpid/,5.991524287681048,Best,759.047619047619,134.01715150496048,4897.0,350.0,1050.0,262.5,5.663809523809523,9375.0
33,13217148,"$2,999,900",2999900.0,2968534.0,9958.0,1929500.0,3.0,5.0,3025.0,4356.0,0.1,40.022034,-105.27676,80304,Boulder,CO,1521 Mapleton Ave Boulder CO 80304,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1521-Mapleton-Ave-Boulder-CO-80304/13217148_zpid/,8.1194059716525,Good,991.702479338843,688.6822773186409,1331.0,1008.3333333333334,605.0,378.125,1.44,-31366.0
34,13198156,"$2,750,000",2750000.0,,,1104900.0,5.0,5.0,5352.0,51400.799999999996,1.18,39.97983,-105.17907,80303,Boulder,CO,895 Paragon Dr Boulder CO 80303,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/895-Paragon-Dr-Boulder-CO-80303/13198156_zpid/,4.848223771750515,Best,513.8266068759342,53.50111282314673,46048.799999999996,1070.4,1070.4,535.2,9.604035874439461,
35,13181492,"$2,347,500",2347500.0,,,1545100.0,4.0,4.0,3108.0,15681.599999999999,0.36,39.986565,-105.27089,80305,Boulder,CO,1815 Kohler Dr Boulder CO 80305,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1815-Kohler-Dr-Boulder-CO-80305/13181492_zpid/,5.803103400451807,Best,755.3088803088804,149.69773492500767,12573.599999999999,777.0,777.0,388.5,5.045559845559845,
36,299288496,"$970,000",970000.0,980034.0,3455.0,677400.0,3.0,3.0,3289.0,4791.6,0.11000000000000001,39.945683,-105.14839,80027,Superior,CO,1491 Lanterns Ln Superior CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1491-Lanterns-Ln-Superior-CO-80027/299288496_zpid/,4.064647862531878,Best,294.9224688355123,202.43759913181398,1502.6000000000004,1096.3333333333333,1096.3333333333333,548.1666666666666,1.45685618729097,10034.0
37,13243938,"$890,000",890000.0,899206.0,3099.0,612400.0,3.0,3.0,2838.0,7258.0,0.16662075298438936,39.95899,-105.15599,80027,Louisville,CO,710 Club Cir Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/710-Club-Cir-Louisville-CO-80027/13243938_zpid/,4.318460837288086,Best,313.6011275546159,122.62331220721963,4420.0,946.0,946.0,473.0,2.5574348132487668,9206.0
38,13240919,"$1,695,000",1695000.0,1701225.0,3866.0,898600.0,6.0,4.0,4217.0,6969.6,0.16,39.98045,-105.15513,80027,Louisville,CO,695 W Sagebrush Dr Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/695-W-Sagebrush-Dr-Louisville-CO-80027/13240919_zpid/,5.491819382125533,Best,401.94451031539006,243.19903581267215,2752.6000000000004,702.8333333333334,1054.25,421.7,1.6527389139198483,6225.0
39,13190154,"$849,000",849000.0,861485.0,2328.0,419700.0,2.0,1.0,959.0,7405.2,0.16999999999999998,39.981255,-105.13176,80027,Louisville,CO,1124 Main St Louisville CO 80027,FOR_SALE,House for sale,SINGLE_FAMILY,False,False,-1,https://zillow.com/homedetails/1124-Main-St-Louisville-CO-80027/13190154_zpid/,6.31571642708484,Best,885.2971845672575,114.6491654513045,6446.2,479.5,959.0,319.6666666666667,7.721793534932221,12485.0
